timestamp,script,model,input_tokens,output_tokens,cost_usd,items
2026-04-23T06:25:29.562713+00:00,split_agenda_items,claude-haiku-4-5-20251001,40555,10496,0.093035,80
2026-04-23T06:26:01.197944+00:00,weekly_digest,claude-opus-4-7,3162,1706,0.17538,25
2026-04-24T22:13:15.187034+00:00,geocode_items,claude-haiku-4-5-20251001,6000,1500,0.0108,18
2026-04-25,correlate_signals,claude-haiku-4-5-20251001,1,405,72,0.000765
2026-04-25,correlate_signals,claude-haiku-4-5-20251001,6,2984,434,0.005154
2026-04-26T03:47:17.502701+00:00,split_agenda_items,claude-haiku-4-5-20251001,245300,90384,0.69722,279
2026-04-26T03:47:50.803565+00:00,weekly_digest,claude-opus-4-7,16719,1622,0.372435,162
2026-04-26T03:57:31.380867+00:00,geocode_items,claude-haiku-4-5-20251001,6000,1500,0.0108,97
2026-04-26T04:09:38.822117+00:00,geocode_items,claude-haiku-4-5-20251001,6000,1500,0.0108,3
2026-04-26,correlate_signals,claude-haiku-4-5-20251001,4,2138,312,0.003698
